Company,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3
1010DATA SERVICES LLC_US,584246.42,458677.48,588502.07,469994.3,625990.31,667435.61,967579.07,854861.29
12TH MAN FOUNDATION,164688.15,137639.67,203651.19,193657.16,127200.05,158577.03,169008.07,158025.57
19 ENTERTAINMENT INC,129730.1,111342.02,121183.26,127686.06,137849.88,88744.69,40743.98,24617.62
"23ANDME, INC.",514348.63,389964.8,510975.68,718373.57,586795.31,521232.11,575477.9,538327.16
24/7 REAL MEDIA INC,794254.88,472242.91,506991.86,517543.96,600704.68,416957.32,320181.9,304569.18
2ND WATCH,534120.81,396018.07,423992.26,464696.31,622878.4,497475.81,574021.14,512495.84
"360 DG OCLA, LLC.",586487.81,572201.6,737743.3,910849.56,502610.12,501646.97,749467.52,474815.43
365 OPERATING COMPANY LLC,166304.18,189381.8,161124.91,105623,131829.55,85812.13,82477.64,86481.62
"365 RETAIL MARKETS, LLC",222531.51,374319.87,477292.05,327008.64,376464.4,401204.29,462598.96,456595.56
3CINTERACTIVE CORP,101786.11,100708.13,96818.14,85136.35,88711.29,124573.07,95328.78,105236.46
"3D ROBOTICS, INC",1088181.86,843752.69,639749.03,281624.34,167520.51,137739.35,180462.12,110800.39
"3M TOUCH SYSTEMS, INC.",95967.29,90729.8,83032.95,56212.7,79956.29,119805.26,94796.17,74295.11
3P LEARNING LTD.,65804.2,64577.79,65856.67,21507.97,39990.82,41584.57,32405.97,27537.16
3P LEARNING PTY LTD,94831.24,94439.46,77129.9,65914.7,67354.18,27422.97,49343.46,30679.87
"3S SERVICES, LLC",103879.22,572222.71,263299.82,265181.69,274701.78,375598.11,318314.15,321737.93
47 BRAND,382510.23,369660.8,381808.73,507360.18,458295.93,469543.58,492041.45,589987.68
4NET TECHNOLOGIES LTD,48179.67,54167.81,58265.9,48834.74,49103.5,66619.52,45307.34,71970.59
4SITE TELECOMS,72710.04,28683.56,35971.26,31986.18,39661.68,25091.51,37587.81,56860.52
4TH SCREEN ADVERTISING LTD,192749.59,351146.92,196848.18,208368.02,153189.06,206638.93,145437.39,143244.52
"4WEB, INC.",77561.54,92453.91,134454.34,127377.95,172311.35,152076.69,225155.17,210655.07
"638 BREWING COMPANY, INC.",50241.26,60099.86,70880.61,71524.66,55691.9,73339.17,59149.72,66818.42
84.51 LLC,351988.26,699021.2,631309.49,650882.43,785960.26,635521.64,544237.75,610206.1
"8X8, INC.",707182.95,659604.94,764443.26,826673.07,1104714.1,1088335.23,1385223.01,1207513.61
95 PERCENT GROUP_US,175690.55,187773.38,134075.99,180063.12,212382.34,207956.94,158685.14,144432.7
A & D ENGINEERING,124666.57,162308.5,143719.69,116279.62,149342.36,153066.03,194361.01,187471.78
"A BOX 4 U, LLC",632110.75,539140.23,541310.52,516288.61,460635.92,417863.63,369107.81,434804.63
A J WALTER AVIATION LTD,440867.48,261716.16,368518.33,299040.01,323033.59,254441.65,301546.95,282509.39
"A W S CONVERGENCE TECHNOLOGIES, INC",409774.57,368895.33,394517.47,432189.23,345754.48,392191.66,347091.03,294366.39
A&D INSTRUMENTS LTD,30963.84,67113.94,36694.85,51535.3,47031.23,18252.7,45439.24,18385.47
"A. JAFFE, INC.",42447.22,35407.37,23423.47,44326.01,38031.76,43549.87,54901.46,48110.7
A.J. ANTUNES & CO,160403.86,138964.49,203295.47,152421.43,172759.25,172095.29,173877.1,155333.85
"A.RAYMOND CORPORATE NORTH AMERICA, INC.",327410.91,378735.85,349649.27,414512.88,365050.32,385609.53,374971.86,402811.17
A2K TECHNOLOGIES PTY LTD,61021.39,59178.31,72443.17,62187.53,59890.02,62671.25,66639.85,76655.7
A2MAC1 LLC,267285.29,122190.01,103657.25,107603.04,152787.59,78442.59,155343.39,126395.15
"AAA ARIZONA, INC",845370.8,838726.94,832643.45,734868.09,699772.82,722639.34,631438.82,496036.74
AAA LIFE INSURANCE CO,298064.86,212473.43,204089.54,132953.63,158840.38,184510.52,213940.07,213789.53
AAM LLC_US,67816.95,54731.59,80558.9,43567.32,95464.89,93776.93,133154.55,76085.74
AAREAL CAPITAL CORPORATION,197168.92,176728.57,228265.41,146069.92,155954.52,171653.51,136876.38,185961.61
AARHUSKARLSHAMN USA INC.,318492.39,172073.64,396235.78,537438.41,579965.32,324627.8,429361.5,456718.97
AB BOYD CORP,245227.66,193397.99,224175.42,179588.93,229065.81,231775.56,267192.51,338555.02
"AB MAURI FLEISCHMANNS, A DIVISION OF AB MAURI FOO",765626.29,765856.48,830083.58,849375.82,820975.88,770750.94,735780.8,663191.31
AB VISTA INC,273041.07,343323.93,233204.97,285346.84,343607.41,439057.27,319417.52,347504.35
ABA INSURANCE SERVICES INC_US,125539.06,156843.02,170029.41,140598.73,158300.09,134288.77,138957.34,135348.91
"ABACUS SOLUTIONS, LLC",89461.89,71097.31,125962.14,76239.13,135287,56352.82,111991.5,102356.74
ABB/CON-CISE OPTICAL GROUP LLC,1712003.9,1685451.43,1314194.08,1046662.61,1089921.31,1343309.24,1481257.7,1290679.49
ABC FINANCIAL,1424621.51,1260770.55,1391380.25,1310369.46,1324750.68,1297441.27,1448397.08,1081976.81
ABCK CORP,110936.32,74119.72,84980.88,30345.5,34143.64,117364.01,112092.31,69478.16
ABE TECH,122078.4,112959.24,117928.83,119703.78,119726.23,92198.37,158292.11,120136.02
ABELL PEST CONTROL INC,279690.72,250229.3,294566.87,209226.67,301806.74,297988.16,260657.23,223687.43
ABERDEEN ASSET MANAGEMENT INC.,1019977.29,710574.43,718433.17,781021.75,742650.33,735400.91,881759.58,899751.35
"ABERDEEN GROUP, INC",141009.91,106498.01,90305.38,109232.75,103867.14,101941.18,88626.16,79613.18
ABEY AUSTRALIA PTY LTD,149497.77,163745.81,106963.88,205598.97,137327.13,205838.67,181722.39,157208.07
"ABIDE THERAPEUTICS, INC.",143909.76,121638.87,155346.56,108269.91,100383,143331.64,137906.83,98304.35
"ABILITY DYNAMICS, L.L.C.",185759.84,134104,124722.05,126262.39,115512.95,110690.91,99724.53,91712.14
ABILITY NETWORK INC.,588497.11,520542.86,697286.16,552654.27,686299.84,596485.56,514649.32,404820.11
ABILITYFIRST,120696.34,115374.25,174420.79,146277.38,143981.35,173580.66,224023.71,128836.46
"ABIOMED, INC.",3073224.35,3145190.99,3536580.19,4123043.51,4078696.49,4806503.06,4194055.45,4966882.05
ABITEC CORPORATION,154999.37,139507.24,158365.93,252443.8,168827.12,142607.67,165915.4,252853.39
"ABLENET, INC.",215964.81,138010.65,133097.51,159603.68,237660.31,168871.15,159406.36,225006.43
